LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.2220507904682024
Amygdala;DICE;STD;0.2237918973942503
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.13665434558012
GreyMatter;DICE;STD;0.13696759272631143
GreyMatter;HDRFDST;MEAN;82.36927706643641
GreyMatter;HDRFDST;STD;7.778315727239983
Hippocampus;DICE;MEAN;0.16308633656011207
Hippocampus;DICE;STD;0.16423811235067337
Hippocampus;HDRFDST;MEAN;inf
Hippocampus;HDRFDST;STD;nan
Thalamus;DICE;MEAN;0.6110646960871969
Thalamus;DICE;STD;0.11326041814791869
Thalamus;HDRFDST;MEAN;18.58550451405931
Thalamus;HDRFDST;STD;4.602067139653773
WhiteMatter;DICE;MEAN;0.1457194334800683
WhiteMatter;DICE;STD;0.11025002669004488
WhiteMatter;HDRFDST;MEAN;65.15966485265382
WhiteMatter;HDRFDST;STD;5.724340686038099
