SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.41393612608875985;34.292856398964496
117122;GreyMatter;0.2654613472351585;74.00675644831355
117122;Hippocampus;0.3616486665197267;33.481338085566414
117122;Thalamus;0.7019662619533684;19.390719429665317
117122;WhiteMatter;0.25459260884266227;58.47221562417487
117122-PP;Amygdala;0.0;inf
117122-PP;GreyMatter;3.7669295230087824e-06;89.5488693395958
117122-PP;Hippocampus;0.0;inf
117122-PP;Thalamus;0.47243102507033974;24.1039415863879
117122-PP;WhiteMatter;0.037928740285661705;69.86415389883427
118528;Amygdala;0.3519127316198446;27.313000567495326
118528;GreyMatter;0.27997096595750215;73.98648525237566
118528;Hippocampus;0.297951462432699;27.23967694375247
118528;Thalamus;0.6648732943469785;21.540659228538015
118528;WhiteMatter;0.2571974915138255;58.557663887829406
118528-PP;Amygdala;0.0;inf
118528-PP;GreyMatter;1.1933494634402475e-05;89.6493167849036
118528-PP;Hippocampus;0.0;inf
118528-PP;Thalamus;0.4139053001113109;21.908902300206645
118528-PP;WhiteMatter;0.05551491468884706;70.11419257183242
118730;Amygdala;0.4399621350032768;34.07345007480164
118730;GreyMatter;0.2932238970928633;73.84443106964804
118730;Hippocampus;0.2853886647732412;34.42382895611701
118730;Thalamus;0.6585409786850795;18.788294228055936
118730;WhiteMatter;0.2325771690753102;60.07495318350236
118730-PP;Amygdala;0.0;inf
118730-PP;GreyMatter;8.128209950185157e-06;89.2972563968233
118730-PP;Hippocampus;0.0;inf
118730-PP;Thalamus;0.556070793724399;22.090722034374522
118730-PP;WhiteMatter;0.0;71.76350047203663
118932;Amygdala;0.45471014492753625;33.0
118932;GreyMatter;0.28509834464062883;74.31688906298487
118932;Hippocampus;0.35377549930577806;31.874754901018456
118932;Thalamus;0.707420973007405;17.578395831246947
118932;WhiteMatter;0.2595899588929626;58.770741019660456
118932-PP;Amygdala;0.0;inf
118932-PP;GreyMatter;2.2176366424537707e-06;89.11789943664516
118932-PP;Hippocampus;0.0;inf
118932-PP;Thalamus;0.6179167807281686;13.0
118932-PP;WhiteMatter;0.032530507929522876;70.39176088151227
120111;Amygdala;0.4373663305835625;33.25657829663178
120111;GreyMatter;0.26647109971876404;74.81978348003956
120111;Hippocampus;0.3478786615240279;32.12475680841802
120111;Thalamus;0.6449638498909759;18.681541692269406
120111;WhiteMatter;0.2760129755170069;59.447455790807396
120111-PP;Amygdala;0.0;inf
120111-PP;GreyMatter;5.297574202932661e-06;90.0
120111-PP;Hippocampus;0.0;inf
120111-PP;Thalamus;0.7719154290090534;5.0
120111-PP;WhiteMatter;0.04608893127130855;69.7853852894716
122317;Amygdala;0.49849397590361444;34.132096331752024
122317;GreyMatter;0.27340839887049884;74.60562981437795
122317;Hippocampus;0.34082873709517747;31.0
122317;Thalamus;0.688213595643773;18.0
122317;WhiteMatter;0.26679319111955346;58.86425061104575
122317-PP;Amygdala;0.0;inf
122317-PP;GreyMatter;0.0;90.0499861188218
122317-PP;Hippocampus;0.0;inf
122317-PP;Thalamus;0.5442223852894202;21.118712081942874
122317-PP;WhiteMatter;0.06055058687126549;69.70652767137379
122620;Amygdala;0.4577852891468881;30.659419433511783
122620;GreyMatter;0.2879561170682607;75.43871685016919
122620;Hippocampus;0.28376204454616316;30.822070014844883
122620;Thalamus;0.6820903094875698;18.894443627691185
122620;WhiteMatter;0.2355292381224249;61.0
122620-PP;Amygdala;0.0;inf
122620-PP;GreyMatter;2.2272450723130795e-06;91.79324593890337
122620-PP;Hippocampus;0.0;inf
122620-PP;Thalamus;0.4568013190436933;22.561028345356956
122620-PP;WhiteMatter;0.011423990018865899;72.71863585079137
123117;Amygdala;0.4364951768488746;31.0
123117;GreyMatter;0.2700375880618515;75.21303078589507
123117;Hippocampus;0.323412242396384;29.068883707497267
123117;Thalamus;0.6710726193059638;19.6468827043885
123117;WhiteMatter;0.2668544298438996;59.57348403442592
123117-PP;Amygdala;0.0;inf
123117-PP;GreyMatter;0.0;89.9499861033897
123117-PP;Hippocampus;0.0;inf
123117-PP;Thalamus;0.4749507854244506;21.02379604162864
123117-PP;WhiteMatter;0.05312485124281385;70.80254232723568
123925;Amygdala;0.45509678491318434;30.033314835362415
123925;GreyMatter;0.24567881775477235;75.7495874576225
123925;Hippocampus;0.3486905526992288;30.01666203960727
123925;Thalamus;0.7229620782323082;16.73320053068151
123925;WhiteMatter;0.25961241617337344;59.941638282582836
123925-PP;Amygdala;0.0;inf
123925-PP;GreyMatter;0.0;91.01098834756164
123925-PP;Hippocampus;0.0;inf
123925-PP;Thalamus;0.6910796312357457;9.433981132056603
123925-PP;WhiteMatter;0.057556980171540255;71.50524456289902
124422;Amygdala;0.4952571143285072;32.28002478313795
124422;GreyMatter;0.2657437454024897;74.2563128629479
124422;Hippocampus;0.3183901999098151;32.14031735997639
124422;Thalamus;0.7061541692921655;18.466185312619388
124422;WhiteMatter;0.23676303098633572;60.340699366182356
124422-PP;Amygdala;0.0;inf
124422-PP;GreyMatter;3.0187095846670686e-06;90.73036977771004
124422-PP;Hippocampus;0.0;inf
124422-PP;Thalamus;0.37374234226177167;23.748684174075834
124422-PP;WhiteMatter;0.014146657034186076;71.49825172687791
