LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4754152666480498
Amygdala;DICE;STD;0.045399383893559055
Amygdala;HDRFDST;MEAN;14.567144415710981
Amygdala;HDRFDST;STD;1.448552233031421
GreyMatter;DICE;MEAN;0.5443442608261242
GreyMatter;DICE;STD;0.013179054310560033
GreyMatter;HDRFDST;MEAN;36.72486535064612
GreyMatter;HDRFDST;STD;0.8272031049942613
Hippocampus;DICE;MEAN;0.34798299688518075
Hippocampus;DICE;STD;0.026613586299996814
Hippocampus;HDRFDST;MEAN;16.53833119588535
Hippocampus;HDRFDST;STD;0.7639379917281057
Thalamus;DICE;MEAN;0.6894357606213062
Thalamus;DICE;STD;0.02826148805009302
Thalamus;HDRFDST;MEAN;17.142242306331163
Thalamus;HDRFDST;STD;0.8022024127551042
WhiteMatter;DICE;MEAN;0.1921442959355861
WhiteMatter;DICE;STD;0.011655594004858846
WhiteMatter;HDRFDST;MEAN;79.76826031551664
WhiteMatter;HDRFDST;STD;1.0122481098888438
