SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.447476875171719;15.556349186104045
117122;GreyMatter;0.5381299166060179;36.89173349139343
117122;Hippocampus;0.3816431924882629;16.0312195418814
117122;Thalamus;0.7150642358451336;17.4928556845359
117122;WhiteMatter;0.19280931986255362;78.91767862779544
117122-PP;Amygdala;0.447476875171719;15.556349186104045
117122-PP;GreyMatter;0.5381299166060179;36.89173349139343
117122-PP;Hippocampus;0.3816431924882629;16.0312195418814
117122-PP;Thalamus;0.7150642358451336;17.4928556845359
117122-PP;WhiteMatter;0.19280931986255362;78.91767862779544
118528;Amygdala;0.3653477983407786;16.401219466856727
118528;GreyMatter;0.5508727665094416;36.235341863986875
118528;Hippocampus;0.31910135377366544;18.05547008526779
118528;Thalamus;0.6612057537444846;17.578395831246947
118528;WhiteMatter;0.1933478176465289;79.7057087039567
118528-PP;Amygdala;0.3653477983407786;16.401219466856727
118528-PP;GreyMatter;0.5508727665094416;36.235341863986875
118528-PP;Hippocampus;0.31910135377366544;18.05547008526779
118528-PP;Thalamus;0.6612057537444846;17.578395831246947
118528-PP;WhiteMatter;0.1933478176465289;79.7057087039567
118730;Amygdala;0.4709446861404599;14.422205101855956
118730;GreyMatter;0.55628280616191;36.71511950137164
118730;Hippocampus;0.3058890469416785;17.029386365926403
118730;Thalamus;0.6600290815090072;17.08800749063506
118730;WhiteMatter;0.17407628246735388;79.65550828411052
118730-PP;Amygdala;0.4709446861404599;14.422205101855956
118730-PP;GreyMatter;0.55628280616191;36.71511950137164
118730-PP;Hippocampus;0.3058890469416785;17.029386365926403
118730-PP;Thalamus;0.6600290815090072;17.08800749063506
118730-PP;WhiteMatter;0.17407628246735388;79.65550828411052
118932;Amygdala;0.4935783089546914;15.811388300841896
118932;GreyMatter;0.5603710048519703;37.21558813185679
118932;Hippocampus;0.37113817497985135;15.427248620541512
118932;Thalamus;0.7125799059220842;16.911534525287763
118932;WhiteMatter;0.19647364934063136;78.65748533992172
118932-PP;Amygdala;0.4935783089546914;15.811388300841896
118932-PP;GreyMatter;0.5603710048519703;37.21558813185679
118932-PP;Hippocampus;0.37113817497985135;15.427248620541512
118932-PP;Thalamus;0.7125799059220842;16.911534525287763
118932-PP;WhiteMatter;0.19647364934063136;78.65748533992172
120111;Amygdala;0.45411726490173787;11.874342087037917
120111;GreyMatter;0.5359638667086574;38.379682124790975
120111;Hippocampus;0.3665182080167671;16.34013463836819
120111;Thalamus;0.6408920503700856;18.384776310850235
120111;WhiteMatter;0.20964330198554407;78.46018098373213
120111-PP;Amygdala;0.45411726490173787;11.874342087037917
120111-PP;GreyMatter;0.5359638667086574;38.379682124790975
120111-PP;Hippocampus;0.3665182080167671;16.34013463836819
