Class,Training_Voxels,Testing_Voxels,Total_Voxels,Training_%,Testing_%,Total_%
0.0,152910577,76487317,229397894,88.12996143413781,88.16688066530118,88.1422678445256
1.0,9744926,4784049,14528975,5.616484937850485,5.514570177431553,5.582513351044175
2.0,10249169,5181699,15430868,5.9071052272725435,5.972941074354987,5.929050509633358
3.0,177256,89156,266412,0.1021614380800455,0.10277006333737124,0.10236431316582076
4.0,64907,33193,98100,0.03740912838753844,0.03826154955759976,0.03769326877755888
5.0,358945,177476,536421,0.20687783427157297,0.20457647001731008,0.20611071285348534
