Label,Metric,Value
WhiteMatter,DICE,0.8529232553298538
WhiteMatter,JACRD,0.7435625029388254
WhiteMatter,VOLSMTY,0.890591460603706
WhiteMatter,AVGDIST,0.18713181979258903
WhiteMatter,HDRFDST,2.0
WhiteMatter,ACURCY,0.9798834367362286
GreyMatter,DICE,0.7227274111056989
GreyMatter,JACRD,0.5658364685735124
GreyMatter,VOLSMTY,0.7457212006819289
GreyMatter,AVGDIST,0.28908700908724383
GreyMatter,HDRFDST,2.0
GreyMatter,ACURCY,0.9580055488641358
Hippocampus,DICE,0.5534289236358918
Hippocampus,JACRD,0.3825798349479727
Hippocampus,VOLSMTY,0.5623824044637644
Hippocampus,AVGDIST,0.9768417246439192
Hippocampus,HDRFDST,10.198039027185569
Hippocampus,ACURCY,0.9984131940734193
Amygdala,DICE,0.5486650174869914
Amygdala,JACRD,0.3780416127894675
Amygdala,VOLSMTY,0.6401091870681566
Amygdala,AVGDIST,1.156827179036545
Amygdala,HDRFDST,8.831760866327848
Amygdala,ACURCY,0.9993901067733881
Thalamus,DICE,0.7267335959672978
Thalamus,JACRD,0.5707631911637501
Thalamus,VOLSMTY,0.7557080526962342
Thalamus,AVGDIST,0.6295176493668606
Thalamus,HDRFDST,15.132745950421556
Thalamus,ACURCY,0.9985127872973454
SmallStructures,DICE,0.6618317123982042
SmallStructures,JACRD,0.4945803293428129
SmallStructures,VOLSMTY,0.6742198901551864
SmallStructures,AVGDIST,0.7110341524325727
SmallStructures,HDRFDST,8.306623862918075
SmallStructures,ACURCY,0.9965009811200526
