Label,Metric,Original_mean,Original_std,Perturbed_mean,Perturbed_std
Amygdala,ACURCY,0.9994543236542321,6.747171717006103e-05,0.9997236403305989,3.5856433961720424e-05
Amygdala,AVGDIST,1.2062985821657197,0.2365066111108091,0.773375885190946,0.21182053679865348
Amygdala,DICE,0.5636395393916582,0.048556603852156585,0.4729594350207441,0.0695590428016421
Amygdala,HDRFDST,11.896006652982113,1.4083188213079973,3.8139335888302597,0.7101725768293048
Amygdala,JACRD,0.3938331656388968,0.046871126373788166,0.3121785466465716,0.0599322241964878
Amygdala,VOLSMTY,0.6119761358697097,0.038740180766211156,0.5449389058322993,0.04344574070582228
GreyMatter,ACURCY,0.958132023036927,0.0017531289507617897,0.9470882987298751,0.002417344430004835
GreyMatter,AVGDIST,0.29105238110631104,0.01420844132837101,2.274222364306488,0.4742137678895216
GreyMatter,DICE,0.7319076378742211,0.00843278719068348,0.240978783497739,0.03928847596708954
GreyMatter,HDRFDST,2.047213595499958,0.0995349988704956,13.418563735907062,3.356940946324646
GreyMatter,JACRD,0.5772350897394969,0.01051075902521567,0.13749927423979777,0.025046612689838668
GreyMatter,VOLSMTY,0.7642240172635916,0.013265508389462971,0.288587563496693,0.047160969492388634
Hippocampus,ACURCY,0.9984861945233179,0.00015617667334951124,0.9993177403081326,7.091927109858251e-05
Hippocampus,AVGDIST,1.02548011136837,0.0767946453285424,0.671620906172945,0.12282902933615546
Hippocampus,DICE,0.567608806333324,0.02062063569389758,0.521136018660302,0.06307488060270991
Hippocampus,HDRFDST,11.352734315047886,1.2976147227955592,4.527829015054314,0.9993133255903949
Hippocampus,JACRD,0.3965258472704004,0.02001109876654758,0.3545919064628584,0.05739819520165499
Hippocampus,VOLSMTY,0.5887854028416768,0.02652148324635519,0.563539272799328,0.06353080554894609
Thalamus,ACURCY,0.9987786689296462,0.00018027135380300878,0.9991950700431997,7.172630995716024e-05
Thalamus,AVGDIST,0.4550103305389677,0.0944254151122853,0.3409157775047342,0.03289863888763954
Thalamus,DICE,0.7649126893878891,0.026176822202240754,0.7703536721307424,0.0195922000433695
Thalamus,HDRFDST,7.731833877479735,3.918438590824537,3.243182445951001,0.30141817071835963
Thalamus,JACRD,0.6199765072185899,0.03449246186626521,0.6268532560170084,0.02575689199502256
Thalamus,VOLSMTY,0.7907726951865766,0.03036918868782055,0.8330649750826076,0.034463112360452394
WhiteMatter,ACURCY,0.9778929900779098,0.002013854523513124,0.959186039796484,0.002349699871807059
WhiteMatter,AVGDIST,0.22440835324306102,0.023121688435203732,1.6674227324775592,0.10390726250458597
WhiteMatter,DICE,0.8276584344135378,0.020308989730310062,0.4147982216740145,0.03033257712185578
WhiteMatter,HDRFDST,2.2101965585281707,0.12923352106525332,13.696722961084898,0.47114532706032625
WhiteMatter,JACRD,0.7064424583605692,0.02918911390784089,0.2620812263976401,0.023940033898484064
WhiteMatter,VOLSMTY,0.8562761254885292,0.02767153115473648,0.421195970230138,0.032202114492155806
