Label,Metric,Original_mean,Original_std,Perturbed_mean,Perturbed_std
Amygdala,ACURCY,0.9994543236542321,6.747171717008932e-05,0.9994551535977649,6.717641219089564e-05
Amygdala,AVGDIST,1.2062985821657197,0.23650661111080915,1.2036182995650602,0.2329625250659224
Amygdala,DICE,0.5636395393916582,0.048556603852156564,0.564004175823151,0.04815320661087892
Amygdala,HDRFDST,11.896006652982113,1.4083188213079976,11.911082463567453,1.4244353836972536
Amygdala,JACRD,0.3938331656388968,0.04687112637378815,0.3941649295712212,0.04652911326252226
Amygdala,VOLSMTY,0.6119761358697097,0.03874018076621115,0.6124043829784664,0.0386305431666019
GreyMatter,ACURCY,0.958132023036927,0.001753128950761767,0.9581633534052871,0.0017398574066233232
GreyMatter,AVGDIST,0.2910523811063111,0.014208441328370996,0.2895484501298072,0.01473029159153138
GreyMatter,DICE,0.7319076378742211,0.00843278719068351,0.7320516622290203,0.008467291520021153
GreyMatter,HDRFDST,2.047213595499958,0.09953499887049559,1.973205080756888,0.08473297452850981
GreyMatter,JACRD,0.5772350897394969,0.010510759025215652,0.5774147760458828,0.010556199797204043
GreyMatter,VOLSMTY,0.7642240172635916,0.01326550838946295,0.7643740526466625,0.013268342841895004
Hippocampus,ACURCY,0.9984861945233179,0.00015617667334950178,0.9985351150837742,0.00018414985391674346
Hippocampus,AVGDIST,1.0254801113683703,0.07679464532854231,1.5043365660076513,1.659377159335128
Hippocampus,DICE,0.567608806333324,0.020620635693897583,0.5598265914228774,0.039907640258302526
Hippocampus,HDRFDST,11.352734315047886,1.2976147227955594,12.448213865849429,5.591856335588386
Hippocampus,JACRD,0.3965258472704004,0.020011098766547563,0.38964466468393305,0.037028282267800354
Hippocampus,VOLSMTY,0.5887854028416768,0.026521483246355206,0.6259335875399975,0.10996702080774395
Thalamus,ACURCY,0.9987786689296462,0.00018027135380302247,0.9988027257651012,0.00016137556758745328
Thalamus,AVGDIST,0.4550103305389677,0.0944254151122853,0.3978375024740984,0.051046231679087804
Thalamus,DICE,0.7649126893878891,0.026176822202240765,0.7683197253349325,0.023760731842376957
Thalamus,HDRFDST,7.731833877479735,3.9184385908245365,4.976525357745322,0.5101147623795517
Thalamus,JACRD,0.6199765072185899,0.03449246186626523,0.6243460292605747,0.031568992222998686
Thalamus,VOLSMTY,0.7907726951865766,0.030369188687820573,0.7942969527576725,0.028249673289623318
WhiteMatter,ACURCY,0.9778929900779098,0.002013854523513136,0.9779218075616847,0.002009495081501499
WhiteMatter,AVGDIST,0.22440835324306102,0.023121688435203736,0.2232936970843137,0.023180147739083008
WhiteMatter,DICE,0.8276584344135378,0.020308989730310006,0.8278422998552919,0.0202893086646898
WhiteMatter,HDRFDST,2.2101965585281707,0.12923352106525335,2.2101965585281707,0.12923352106525335
WhiteMatter,JACRD,0.7064424583605692,0.029189113907840927,0.7067093539028995,0.02916750420982621
WhiteMatter,VOLSMTY,0.8562761254885292,0.02767153115473649,0.8564716174700994,0.027632375224538718
