Label,Metric,Original,Perturbed
WhiteMatter,DICE,0.818039486715174,0.3554450075741991
WhiteMatter,JACRD,0.6921039049280362,0.21613446142649198
WhiteMatter,VOLSMTY,0.8465184161298231,0.35988105702156314
WhiteMatter,AVGDIST,0.2268562213364024,1.8811717133005004
WhiteMatter,HDRFDST,2.0,14.560219778561036
WhiteMatter,ACURCY,0.9782704645343804,0.9602722168679337
GreyMatter,DICE,0.7376304850292845,0.2433474524516449
GreyMatter,JACRD,0.5843221626327028,0.13852907496776698
GreyMatter,VOLSMTY,0.7679221200472469,0.2971348091807946
GreyMatter,AVGDIST,0.2748323826994488,2.0288154406548684
GreyMatter,HDRFDST,2.0,12.529964086141668
GreyMatter,ACURCY,0.9555250551307282,0.9421590450761929
Hippocampus,DICE,0.5276364218274924,0.44450207468879666
Hippocampus,JACRD,0.35836014259629595,0.2857619206402134
Hippocampus,VOLSMTY,0.5533685389662346,0.5053596127247579
Hippocampus,AVGDIST,1.0919030247563088,0.8126241147933406
Hippocampus,HDRFDST,10.344080432788601,4.58257569495584
Hippocampus,ACURCY,0.9982987310278655,0.9992592753970502
Amygdala,DICE,0.5849091242885992,0.5785867237687367
Amygdala,JACRD,0.4133367929423975,0.4070503163603495
Amygdala,VOLSMTY,0.5979438222874978,0.6051391862955032
Amygdala,AVGDIST,0.9787283060369758,0.5064256198131039
Amygdala,HDRFDST,11.180339887498949,3.0
Amygdala,ACURCY,0.9994787493534798,0.999773148767724
Thalamus,DICE,0.7440724306395948,0.7878525523625587
Thalamus,JACRD,0.5924485207522929,0.6499642876765013
Thalamus,VOLSMTY,0.7566671148760701,0.875695115047784
Thalamus,AVGDIST,0.5243530938428885,0.3127113288996954
Thalamus,HDRFDST,7.483314773547883,2.8284271247461903
Thalamus,ACURCY,0.998683617341163,0.9992656152434807
