Label,Metric,Original,Perturbed
WhiteMatter,DICE,0.8351007923889074,0.8379111001274429
WhiteMatter,JACRD,0.7168867374384119,0.7210387262276872
WhiteMatter,VOLSMTY,0.8590570182089151,0.9608532371939312
WhiteMatter,AVGDIST,0.21662078973234133,0.29678044890240685
WhiteMatter,HDRFDST,2.23606797749979,4.358898943540674
WhiteMatter,ACURCY,0.978062863381266,0.9807212186245323
GreyMatter,DICE,0.7253238855608329,0.6518449299312326
GreyMatter,JACRD,0.5690260273528083,0.48350886660091924
GreyMatter,VOLSMTY,0.7591557776793193,0.9975697787087529
GreyMatter,AVGDIST,0.292297300443303,0.6035336751472861
GreyMatter,HDRFDST,2.0,4.123105625617661
GreyMatter,ACURCY,0.9601960234408329,0.9616057747471006
Hippocampus,DICE,0.5691962856227986,0.6985618796840186
Hippocampus,JACRD,0.3978157729836183,0.5367615015874992
Hippocampus,VOLSMTY,0.582260646813961,0.7366416852339477
Hippocampus,AVGDIST,1.0968893940085895,0.5314666329042677
Hippocampus,HDRFDST,11.874342087037917,6.324555320336759
Hippocampus,ACURCY,0.9984491582931704,0.9991422764129241
Amygdala,DICE,0.5618666914567259,0.6531881804043546
Amygdala,JACRD,0.3906916612798966,0.48498845265588914
Amygdala,VOLSMTY,0.626754671376778,0.806555808111018
Amygdala,AVGDIST,1.2625329211193268,0.8017075920940678
Amygdala,HDRFDST,11.357816691600547,9.433981132056603
Amygdala,ACURCY,0.9994567327958758,0.9996658324581463
Thalamus,DICE,0.7891118343067739,0.8364065974796145
Thalamus,JACRD,0.6516801936494375,0.7188134580927732
Thalamus,VOLSMTY,0.8135089118299963,0.8743977020014826
Thalamus,AVGDIST,0.3824002063901346,0.23751444820300088
Thalamus,HDRFDST,5.744562646538029,3.0
Thalamus,ACURCY,0.9988720836850508,0.9991859637183268
