Metric,Label,mean,sd
ACURCY,Amygdala,0.9994543236542321,6.747171717006971e-05
ACURCY,GreyMatter,0.958132023036927,0.001753128950761797
ACURCY,Hippocampus,0.9984861945233179,0.0001561766733495222
ACURCY,SmallStructures,0.9968286704915537,0.00034652412877224267
ACURCY,Thalamus,0.9987786689296462,0.0001802713538030058
ACURCY,WhiteMatter,0.9778929900779098,0.0020138545235131103
DICE,Amygdala,0.5636395393916582,0.04855660385215658
DICE,GreyMatter,0.7319076378742211,0.008432787190683492
DICE,Hippocampus,0.567608806333324,0.02062063569389758
DICE,SmallStructures,0.6811150657330703,0.02164089011036151
DICE,Thalamus,0.7649126893878891,0.02617682220224076
DICE,WhiteMatter,0.8276584344135378,0.02030898973031002
HDRFDST,Amygdala,11.896006652982113,1.4083188213079976
HDRFDST,GreyMatter,2.047213595499958,0.09953499887049558
HDRFDST,Hippocampus,11.352734315047886,1.2976147227955594
HDRFDST,SmallStructures,8.999521304044936,0.8223383313192943
HDRFDST,Thalamus,7.731833877479735,3.9184385908245374
HDRFDST,WhiteMatter,2.2101965585281707,0.12923352106525335
VOLSMTY,Amygdala,0.6119761358697097,0.03874018076621115
VOLSMTY,GreyMatter,0.7642240172635916,0.013265508389462945
VOLSMTY,Hippocampus,0.5887854028416768,0.02652148324635516
VOLSMTY,SmallStructures,0.697206518587729,0.02561907774373031
VOLSMTY,Thalamus,0.7907726951865766,0.03036918868782057
VOLSMTY,WhiteMatter,0.8562761254885292,0.027671531154736497
