Label,Metric,Value
WhiteMatter,DICE,0.8093071190139698
WhiteMatter,JACRD,0.679694262002953
WhiteMatter,VOLSMTY,0.8316769409723144
WhiteMatter,AVGDIST,0.2416122425732341
WhiteMatter,HDRFDST,2.23606797749979
WhiteMatter,ACURCY,0.9767943177454953
GreyMatter,DICE,0.7457955265805143
GreyMatter,JACRD,0.5946363151991986
GreyMatter,VOLSMTY,0.7776268926033034
GreyMatter,AVGDIST,0.28344866311391315
GreyMatter,HDRFDST,2.0
GreyMatter,ACURCY,0.9590450531388637
Hippocampus,DICE,0.5740379615184608
Hippocampus,JACRD,0.40256188175229063
Hippocampus,VOLSMTY,0.6332553302132085
Hippocampus,AVGDIST,1.0911676097986203
Hippocampus,HDRFDST,13.076696830622021
Hippocampus,ACURCY,0.998489272230585
Amygdala,DICE,0.6086483546369322
Amygdala,JACRD,0.4374511336982017
Amygdala,VOLSMTY,0.6405584262532862
Amygdala,AVGDIST,0.9588858592654158
Amygdala,HDRFDST,12.884098726725126
Amygdala,ACURCY,0.9995023796901752
Thalamus,DICE,0.7734520002683423
Thalamus,JACRD,0.6305925250683683
Thalamus,VOLSMTY,0.8040877479371185
Thalamus,AVGDIST,0.39214761059748826
Thalamus,HDRFDST,5.0990195135927845
Thalamus,ACURCY,0.9988322002875063
SmallStructures,DICE,0.6999005987193416
SmallStructures,JACRD,0.5383439128038264
SmallStructures,VOLSMTY,0.722485494347997
SmallStructures,AVGDIST,0.6358452418452339
SmallStructures,HDRFDST,9.0
SmallStructures,ACURCY,0.9970071314050748
