Label,Metric,Original,Perturbed
WhiteMatter,DICE,0.8370817569946437,0.3845845134972213
WhiteMatter,JACRD,0.7198113556386854,0.2380715776903998
WhiteMatter,VOLSMTY,0.8746845456247587,0.3874945292694407
WhiteMatter,AVGDIST,0.2142148769129439,1.774731290942104
WhiteMatter,HDRFDST,2.23606797749979,14.212670403551895
WhiteMatter,ACURCY,0.9790373554125977,0.9570468488139127
GreyMatter,DICE,0.7410631035573537,0.29318721537522335
GreyMatter,JACRD,0.5886419769341589,0.17177467734967616
GreyMatter,VOLSMTY,0.7645043698553879,0.3478053200111648
GreyMatter,AVGDIST,0.27000819973825513,1.7230388610322638
GreyMatter,HDRFDST,2.0,8.831760866327848
GreyMatter,ACURCY,0.956784379171691,0.9454154207427556
Hippocampus,DICE,0.5501732323880405,0.5719733079122974
Hippocampus,JACRD,0.3794751515687923,0.40053404539385845
Hippocampus,VOLSMTY,0.5641601437187219,0.6029551954242136
Hippocampus,AVGDIST,1.0208991861497225,0.5606960096012427
Hippocampus,HDRFDST,11.180339887498949,4.123105625617661
Hippocampus,ACURCY,0.9983836849700338,0.9993789255896836
Amygdala,DICE,0.5539183481933364,0.5216558985403207
Amygdala,JACRD,0.3830477673935618,0.3528650048559404
Amygdala,VOLSMTY,0.5653683716564992,0.5585068198133525
Amygdala,AVGDIST,1.2428676380498405,0.5980529336870408
Amygdala,HDRFDST,12.165525060596439,3.0
Amygdala,ACURCY,0.9994521219984718,0.999769575399736
Thalamus,DICE,0.7595863301698089,0.7389578636522401
Thalamus,JACRD,0.6123653331503466,0.5859898272649443
Thalamus,VOLSMTY,0.7983997957186024,0.8086241386974884
Thalamus,AVGDIST,0.48138198428542817,0.40914565939371744
Thalamus,HDRFDST,7.54983443527075,3.7416573867739413
Thalamus,ACURCY,0.9986976802732451,0.9990523658635464
