Label,Metric,Value
WhiteMatter,DICE,0.7847055139985795
WhiteMatter,JACRD,0.6456916599534891
WhiteMatter,VOLSMTY,0.7980737348725475
WhiteMatter,AVGDIST,0.2665377356667687
WhiteMatter,HDRFDST,2.449489742783178
WhiteMatter,ACURCY,0.9731302323184853
GreyMatter,DICE,0.7218156859098525
GreyMatter,JACRD,0.564719561923011
GreyMatter,VOLSMTY,0.784021257917739
GreyMatter,AVGDIST,0.3105907640892151
GreyMatter,HDRFDST,2.0
GreyMatter,ACURCY,0.9593083296706312
Hippocampus,DICE,0.5925925925925926
Hippocampus,JACRD,0.42105263157894735
Hippocampus,VOLSMTY,0.6143428747306864
Hippocampus,AVGDIST,0.8894959295211723
Hippocampus,HDRFDST,9.695359714832659
Hippocampus,ACURCY,0.9986267892631588
Amygdala,DICE,0.6421119477456227
Amygdala,JACRD,0.4728754676643506
Amygdala,VOLSMTY,0.6696906468293569
Amygdala,AVGDIST,0.8969737889436311
Amygdala,HDRFDST,10.723805294763608
Amygdala,ACURCY,0.9995452601060322
Thalamus,DICE,0.8113292230647485
Thalamus,JACRD,0.6825516693163752
Thalamus,VOLSMTY,0.8478964401294499
Thalamus,AVGDIST,0.32770920599997033
Thalamus,HDRFDST,5.0
Thalamus,ACURCY,0.9990793390283598
SmallStructures,DICE,0.7165635555770791
SmallStructures,JACRD,0.558316353482756
SmallStructures,VOLSMTY,0.741431286850612
SmallStructures,AVGDIST,0.5801328874851208
SmallStructures,HDRFDST,7.810249675906654
SmallStructures,ACURCY,0.997301415549384
