Label,Metric,Original_mean,Original_std,Perturbed_mean,Perturbed_std
Amygdala,ACURCY,0.9994543236542321,6.747171717006736e-05,0.9994551535977649,6.717641219090614e-05
Amygdala,AVGDIST,1.2062985821657197,0.23650661111080915,1.2036182995650602,0.2329625250659224
Amygdala,DICE,0.5636395393916582,0.04855660385215658,0.564004175823151,0.04815320661087893
Amygdala,HDRFDST,11.896006652982113,1.408318821307998,11.911082463567453,1.4244353836972539
Amygdala,JACRD,0.3938331656388968,0.04687112637378817,0.3941649295712212,0.04652911326252225
Amygdala,VOLSMTY,0.6119761358697097,0.038740180766211184,0.6124043829784664,0.03863054316660192
GreyMatter,ACURCY,0.958132023036927,0.001753128950761792,0.9581557571165641,0.0017462258861140874
GreyMatter,AVGDIST,0.2910523811063111,0.014208441328370989,0.2900334757667886,0.013863912356302487
GreyMatter,DICE,0.7319076378742211,0.008432787190683497,0.7320179084683999,0.00842602121838929
GreyMatter,HDRFDST,2.047213595499958,0.0995349988704956,1.973205080756888,0.08473297452850977
GreyMatter,JACRD,0.5772350897394969,0.010510759025215645,0.5773721644144341,0.010504110904713903
GreyMatter,VOLSMTY,0.7642240172635916,0.013265508389462952,0.7643392311889898,0.0132671101905412
Hippocampus,ACURCY,0.9984861945233179,0.00015617667334950626,0.9985200377762631,0.0001853293341181459
Hippocampus,AVGDIST,1.0254801113683703,0.07679464532854241,1.5354230715723731,1.6725102841028825
Hippocampus,DICE,0.567608806333324,0.02062063569389761,0.55728520304735,0.0414948957376739
Hippocampus,HDRFDST,11.352734315047886,1.2976147227955594,12.856924611261245,5.415973241804164
Hippocampus,JACRD,0.3965258472704004,0.02001109876654757,0.38726618906048105,0.03829623176096377
Hippocampus,VOLSMTY,0.5887854028416768,0.026521483246355195,0.622595483907983,0.10636505660191699
Thalamus,ACURCY,0.9987786689296462,0.0001802713538029972,0.9988027257651012,0.00016137556758748394
Thalamus,AVGDIST,0.4550103305389677,0.0944254151122853,0.3978375024740984,0.05104623167908779
Thalamus,DICE,0.7649126893878891,0.026176822202240768,0.7683197253349325,0.02376073184237693
Thalamus,HDRFDST,7.731833877479735,3.918438590824538,4.976525357745322,0.5101147623795516
Thalamus,JACRD,0.6199765072185899,0.0344924618662652,0.6243460292605747,0.03156899222299866
Thalamus,VOLSMTY,0.7907726951865766,0.03036918868782058,0.7942969527576725,0.02824967328962331
WhiteMatter,ACURCY,0.9778929900779098,0.002013854523513102,0.9779218075616847,0.002009495081501499
WhiteMatter,AVGDIST,0.22440835324306102,0.023121688435203732,0.2232936970843137,0.023180147739083015
WhiteMatter,DICE,0.8276584344135378,0.020308989730310013,0.8278422998552919,0.020289308664689785
WhiteMatter,HDRFDST,2.2101965585281707,0.12923352106525335,2.2101965585281707,0.12923352106525335
WhiteMatter,JACRD,0.7064424583605692,0.02918911390784094,0.7067093539028995,0.02916750420982622
WhiteMatter,VOLSMTY,0.8562761254885292,0.027671531154736504,0.8564716174700994,0.027632375224538677
