Label,Metric,Value
WhiteMatter,DICE,0.8374689847785172
WhiteMatter,JACRD,0.7203842080883875
WhiteMatter,VOLSMTY,0.861886383430383
WhiteMatter,AVGDIST,0.2196725353767505
WhiteMatter,HDRFDST,2.23606797749979
WhiteMatter,ACURCY,0.9783596834641474
GreyMatter,DICE,0.7392349222574512
GreyMatter,JACRD,0.5863383554223135
GreyMatter,VOLSMTY,0.7805810224656593
GreyMatter,AVGDIST,0.28335593503257867
GreyMatter,HDRFDST,2.0
GreyMatter,ACURCY,0.9601258240503573
Hippocampus,DICE,0.5799545647067883
Hippocampus,JACRD,0.4084056399132321
Hippocampus,VOLSMTY,0.5968195294751839
Hippocampus,AVGDIST,0.9617085475910324
Hippocampus,HDRFDST,10.04987562112089
Hippocampus,ACURCY,0.9987425202779988
Amygdala,DICE,0.5979058616302965
Amygdala,JACRD,0.42643774427694026
Amygdala,VOLSMTY,0.6456600450141893
Amygdala,AVGDIST,1.1041375090081482
Amygdala,HDRFDST,12.806248474865697
Amygdala,ACURCY,0.9995263558366759
Thalamus,DICE,0.7743319680124829
Thalamus,JACRD,0.6317632081476766
Thalamus,VOLSMTY,0.7907645796762239
Thalamus,AVGDIST,0.4204726123551766
Thalamus,HDRFDST,6.164414002968976
Thalamus,ACURCY,0.9989330614807184
SmallStructures,DICE,0.6937025619770484
SmallStructures,JACRD,0.5310448767525333
SmallStructures,VOLSMTY,0.7063181618008962
SmallStructures,AVGDIST,0.65825663657561
SmallStructures,HDRFDST,8.54400374531753
SmallStructures,ACURCY,0.9972740965747654
