Label,Metric,Original,Perturbed
WhiteMatter,DICE,0.8324993126701878,0.8325567256344061
WhiteMatter,JACRD,0.7130610899889017,0.7131453355511682
WhiteMatter,VOLSMTY,0.867342170474126,0.8674019863613471
WhiteMatter,AVGDIST,0.22072862704186183,0.22016736985533952
WhiteMatter,HDRFDST,2.23606797749979,2.23606797749979
WhiteMatter,ACURCY,0.9787210547106846,0.9787298152257521
GreyMatter,DICE,0.725795291990271,0.7260135830854707
GreyMatter,JACRD,0.5696065062606324,0.5698754503551181
GreyMatter,VOLSMTY,0.7479614518792279,0.7481864096962594
GreyMatter,AVGDIST,0.3109378546572375,0.30854788185394366
GreyMatter,HDRFDST,2.23606797749979,2.0
GreyMatter,ACURCY,0.9553225258547583,0.9553715155771756
Hippocampus,DICE,0.5637250554323725,0.5664715843260747
Hippocampus,JACRD,0.39249104606644436,0.395158950553322
Hippocampus,VOLSMTY,0.5805764966740576,0.5834051275957339
Hippocampus,AVGDIST,1.1344771545562646,1.1030885954979948
Hippocampus,HDRFDST,13.038404810405298,13.038404810405298
Hippocampus,ACURCY,0.9982989615677357,0.998317865837092
Amygdala,DICE,0.4795793163891323,0.4795793163891323
Amygdala,JACRD,0.31542540926908,0.31542540926908
Amygdala,VOLSMTY,0.5481156879929886,0.5481156879929886
Amygdala,AVGDIST,1.6024079043417978,1.6024079043417976
Amygdala,HDRFDST,13.490737563232042,13.490737563232042
Amygdala,ACURCY,0.9993155271253787,0.9993155271253787
Thalamus,DICE,0.7517288776255315,0.7546787408365675
Thalamus,JACRD,0.6022160283541517,0.606011288479518
Thalamus,VOLSMTY,0.7784888965250634,0.7815437688658905
Thalamus,AVGDIST,0.4663421224757669,0.41924445358193685
Thalamus,HDRFDST,5.830951894845301,5.0
Thalamus,ACURCY,0.998667479550249,0.9986884586784371
