Label,Metric,Value
WhiteMatter,DICE,0.8370817569946437
WhiteMatter,JACRD,0.7198113556386854
WhiteMatter,VOLSMTY,0.8746845456247587
WhiteMatter,AVGDIST,0.2142148769129439
WhiteMatter,HDRFDST,2.23606797749979
WhiteMatter,ACURCY,0.9790373554125977
GreyMatter,DICE,0.7410631035573537
GreyMatter,JACRD,0.5886419769341589
GreyMatter,VOLSMTY,0.7645043698553879
GreyMatter,AVGDIST,0.27000819973825513
GreyMatter,HDRFDST,2.0
GreyMatter,ACURCY,0.956784379171691
Hippocampus,DICE,0.5501732323880405
Hippocampus,JACRD,0.3794751515687923
Hippocampus,VOLSMTY,0.5641601437187219
Hippocampus,AVGDIST,1.0208991861497225
Hippocampus,HDRFDST,11.180339887498949
Hippocampus,ACURCY,0.9983836849700338
Amygdala,DICE,0.5539183481933364
Amygdala,JACRD,0.3830477673935618
Amygdala,VOLSMTY,0.5653683716564992
Amygdala,AVGDIST,1.2428676380498405
Amygdala,HDRFDST,12.165525060596439
Amygdala,ACURCY,0.9994521219984718
Thalamus,DICE,0.7595863301698089
Thalamus,JACRD,0.6123653331503466
Thalamus,VOLSMTY,0.7983997957186024
Thalamus,AVGDIST,0.48138198428542817
Thalamus,HDRFDST,7.54983443527075
Thalamus,ACURCY,0.9986976802732451
SmallStructures,DICE,0.6717555533038359
SmallStructures,JACRD,0.5057469315793043
SmallStructures,VOLSMTY,0.6882381418808615
SmallStructures,AVGDIST,0.7040210431440417
SmallStructures,HDRFDST,8.660254037844387
SmallStructures,ACURCY,0.9966393050421721
