Label,Metric,Original,Perturbed
WhiteMatter,DICE,0.8494884626923428,0.8497241759637314
WhiteMatter,JACRD,0.7383571873431651,0.7387134096082153
WhiteMatter,VOLSMTY,0.8878878922401986,0.8881342604593065
WhiteMatter,AVGDIST,0.20145025909739345,0.19963204285382266
WhiteMatter,HDRFDST,2.23606797749979,2.23606797749979
WhiteMatter,ACURCY,0.9800487338231614,0.9800855049324582
GreyMatter,DICE,0.7307201671668649,0.7308683456804742
GreyMatter,JACRD,0.5756966653569517,0.5758806371214074
GreyMatter,VOLSMTY,0.7558721504975345,0.7560254294362747
GreyMatter,AVGDIST,0.30557444874698203,0.3040528621024832
GreyMatter,HDRFDST,2.23606797749979,2.0
GreyMatter,ACURCY,0.9580507346786948,0.9580823186409121
Hippocampus,DICE,0.5679283705595242,0.5710849639212118
Hippocampus,JACRD,0.39657818707114484,0.39966334561666894
Hippocampus,VOLSMTY,0.5816336425639203,0.5848664109731522
Hippocampus,AVGDIST,1.0137712837418218,0.9840333299988763
Hippocampus,HDRFDST,11.224972160321824,11.180339887498949
Hippocampus,ACURCY,0.9984591867775241,0.9984788979364261
Amygdala,DICE,0.5583442592245739,0.5585011709601874
Amygdala,JACRD,0.3872937508120047,0.3874447621523265
Amygdala,VOLSMTY,0.5888743210339015,0.5890398126463701
Amygdala,AVGDIST,1.3284911661358774,1.328232393285642
Amygdala,HDRFDST,12.328828005937952,12.328828005937952
Amygdala,ACURCY,0.9994563869860704,0.9994567327958758
Thalamus,DICE,0.7358301536887429,0.7426850258175559
Thalamus,JACRD,0.5820658955249047,0.5906913073237509
Thalamus,VOLSMTY,0.7532240530343401,0.7602409638554217
Thalamus,AVGDIST,0.5562001613855926,0.43609478776554417
Thalamus,HDRFDST,14.730919862656235,4.69041575982343
Thalamus,ACURCY,0.998571459694311,0.9986213715762091
