Label,Metric,Original_mean,Original_std,Perturbed_mean,Perturbed_std
Amygdala,ACURCY,0.9994543236542321,6.747171717006565e-05,0.9996808636576834,4.630030423779512e-05
Amygdala,AVGDIST,1.2062985821657197,0.23650661111080906,0.6727340241163763,0.20951205083627114
Amygdala,DICE,0.5636395393916582,0.04855660385215658,0.6755852516319689,0.04845982547144231
Amygdala,HDRFDST,11.896006652982113,1.4083188213079973,8.94523450968642,2.6210217614754616
Amygdala,JACRD,0.3938331656388968,0.046871126373788166,0.5119209746245506,0.05529300958571697
Amygdala,VOLSMTY,0.6119761358697097,0.03874018076621117,0.7754281295050657,0.030744730908197668
GreyMatter,ACURCY,0.958132023036927,0.001753128950761783,0.9590580325335558,0.0015293743764591863
GreyMatter,AVGDIST,0.29105238110631104,0.01420844132837101,0.6143585597418382,0.15164898371534075
GreyMatter,DICE,0.7319076378742211,0.008432787190683492,0.6583216110860972,0.02838445201419318
GreyMatter,HDRFDST,2.047213595499958,0.0995349988704956,4.335867236274867,1.3744717407054778
GreyMatter,JACRD,0.5772350897394969,0.010510759025215645,0.4912572149047264,0.03083917036940315
GreyMatter,VOLSMTY,0.7642240172635916,0.013265508389462949,0.9589853246988852,0.03358399670847957
Hippocampus,ACURCY,0.9984861945233179,0.00015617667334950157,0.999206424131807,8.99878922871675e-05
Hippocampus,AVGDIST,1.02548011136837,0.07679464532854237,0.45265521576255274,0.0890094865924327
Hippocampus,DICE,0.567608806333324,0.020620635693897556,0.7066221041425608,0.018134904156200855
Hippocampus,HDRFDST,11.352734315047886,1.2976147227955592,4.0574133728569075,1.2637671734241136
Hippocampus,JACRD,0.3965258472704004,0.020011098766547553,0.5466095777849083,0.021487599242058182
Hippocampus,VOLSMTY,0.5887854028416768,0.026521483246355167,0.762086464056028,0.028249907876471976
Thalamus,ACURCY,0.9987786689296462,0.000180271353803012,0.9991063928821277,0.0001495636481911266
Thalamus,AVGDIST,0.4550103305389677,0.09442541511228529,0.27763697328122316,0.04703389052040598
Thalamus,DICE,0.7649126893878891,0.02617682220224078,0.814480227214017,0.02435515969056014
Thalamus,HDRFDST,7.731833877479735,3.9184385908245365,3.356145281098631,0.3891427218320802
Thalamus,JACRD,0.6199765072185899,0.03449246186626521,0.6876665622773086,0.0347725950530199
Thalamus,VOLSMTY,0.7907726951865766,0.0303691886878206,0.8535000148010814,0.028966544034270153
WhiteMatter,ACURCY,0.9778929900779098,0.002013854523513136,0.9806454978041653,0.0005765496993173412
WhiteMatter,AVGDIST,0.22440835324306102,0.023121688435203732,0.32722645359784586,0.02786137101833177
WhiteMatter,DICE,0.8276584344135378,0.020308989730309996,0.8286860858777473,0.010447463620946814
WhiteMatter,HDRFDST,2.2101965585281707,0.12923352106525335,4.743375890091571,0.5777207757866761
WhiteMatter,JACRD,0.7064424583605692,0.029189113907840927,0.707606425207919,0.015226291175784926
WhiteMatter,VOLSMTY,0.8562761254885292,0.02767153115473647,0.9722693854999775,0.026182255563971343
