Label,Metric,Value
WhiteMatter,DICE,0.8494884626923428
WhiteMatter,JACRD,0.7383571873431651
WhiteMatter,VOLSMTY,0.8878878922401986
WhiteMatter,AVGDIST,0.20145025909739347
WhiteMatter,HDRFDST,2.23606797749979
WhiteMatter,ACURCY,0.9800487338231614
GreyMatter,DICE,0.7307201671668649
GreyMatter,JACRD,0.5756966653569517
GreyMatter,VOLSMTY,0.7558721504975345
GreyMatter,AVGDIST,0.30557444874698203
GreyMatter,HDRFDST,2.23606797749979
GreyMatter,ACURCY,0.9580507346786948
Hippocampus,DICE,0.5679283705595242
Hippocampus,JACRD,0.39657818707114484
Hippocampus,VOLSMTY,0.5816336425639203
Hippocampus,AVGDIST,1.0137712837418218
Hippocampus,HDRFDST,11.224972160321824
Hippocampus,ACURCY,0.9984591867775241
Amygdala,DICE,0.5583442592245739
Amygdala,JACRD,0.3872937508120047
Amygdala,VOLSMTY,0.5888743210339015
Amygdala,AVGDIST,1.3284911661358774
Amygdala,HDRFDST,12.328828005937952
Amygdala,ACURCY,0.9994563869860704
Thalamus,DICE,0.7358301536887429
Thalamus,JACRD,0.5820658955249047
Thalamus,VOLSMTY,0.7532240530343401
Thalamus,AVGDIST,0.5562001613855926
Thalamus,HDRFDST,14.730919862656235
Thalamus,ACURCY,0.998571459694311
SmallStructures,DICE,0.6647614314115308
SmallStructures,JACRD,0.49785966871394005
SmallStructures,VOLSMTY,0.6734366528104103
SmallStructures,AVGDIST,0.7318596544653895
SmallStructures,HDRFDST,10.198039027185569
SmallStructures,ACURCY,0.996579018866115
