Label,Metric,Value
WhiteMatter,DICE,0.8199696595532019
WhiteMatter,JACRD,0.6948716752848358
WhiteMatter,VOLSMTY,0.8450426923285184
WhiteMatter,AVGDIST,0.24925842490032496
WhiteMatter,HDRFDST,2.23606797749979
WhiteMatter,ACURCY,0.9766217586526512
GreyMatter,DICE,0.7289698995840869
GreyMatter,JACRD,0.5735268577396787
GreyMatter,VOLSMTY,0.758873929008568
GreyMatter,AVGDIST,0.2903912534549337
GreyMatter,HDRFDST,2.0
GreyMatter,ACURCY,0.9589567563685775
Hippocampus,DICE,0.5974146550492787
Hippocampus,JACRD,0.425938184225266
Hippocampus,VOLSMTY,0.619054420797029
Hippocampus,AVGDIST,0.9776472589162508
Hippocampus,HDRFDST,12.84523257866513
Hippocampus,ACURCY,0.9987004467516875
Amygdala,DICE,0.5004464728643715
Amygdala,JACRD,0.3337303162630674
Amygdala,VOLSMTY,0.5966861791844429
Amygdala,AVGDIST,1.531133549719638
Amygdala,HDRFDST,13.19090595827292
Amygdala,ACURCY,0.9994196158767736
Thalamus,DICE,0.7829504801355677
Thalamus,JACRD,0.6433185070585961
Thalamus,VOLSMTY,0.8089813594426661
Thalamus,AVGDIST,0.369578658690371
Thalamus,HDRFDST,4.58257569495584
Thalamus,ACURCY,0.9989369806585118
SmallStructures,DICE,0.6979434287771035
SmallStructures,JACRD,0.5360315705189309
SmallStructures,VOLSMTY,0.7164116121185042
SmallStructures,AVGDIST,0.6303681902693519
SmallStructures,HDRFDST,9.219544457292887
SmallStructures,ACURCY,0.9971946755894818
