Label,Metric,Original,Perturbed
WhiteMatter,DICE,0.8529232553298538,0.8530627279524131
WhiteMatter,JACRD,0.7435625029388254,0.7437745278165651
WhiteMatter,VOLSMTY,0.890591460603706,0.8907370928465403
WhiteMatter,AVGDIST,0.18713181979258903,0.18641105767073451
WhiteMatter,HDRFDST,2.0,2.0
WhiteMatter,ACURCY,0.9798834367362286,0.979905799103638
GreyMatter,DICE,0.7227274111056989,0.7228005757402075
GreyMatter,JACRD,0.5658364685735124,0.5659261678411031
GreyMatter,VOLSMTY,0.7457212006819289,0.7457966930712513
GreyMatter,AVGDIST,0.28908700908724383,0.28833282909995894
GreyMatter,HDRFDST,2.0,2.0
GreyMatter,ACURCY,0.9580055488641358,0.9580208797655041
Hippocampus,DICE,0.5534289236358918,0.5594726658577378
Hippocampus,JACRD,0.3825798349479727,0.3883804580430724
Hippocampus,VOLSMTY,0.5623824044637644,0.5685239235234316
Hippocampus,AVGDIST,0.9768417246439192,0.946036264251408
Hippocampus,HDRFDST,10.198039027185569,10.198039027185569
Hippocampus,ACURCY,0.9984131940734193,0.9984515789618075
Amygdala,DICE,0.5486650174869914,0.5486650174869914
Amygdala,JACRD,0.3780416127894675,0.3780416127894675
Amygdala,VOLSMTY,0.6401091870681566,0.6401091870681566
Amygdala,AVGDIST,1.156827179036545,1.156827179036545
Amygdala,HDRFDST,8.831760866327848,8.831760866327848
Amygdala,ACURCY,0.9993901067733881,0.9993901067733881
Thalamus,DICE,0.7267335959672978,0.7368149802439443
Thalamus,JACRD,0.5707631911637501,0.5832993336053311
Thalamus,VOLSMTY,0.7557080526962342,0.7661913760522248
Thalamus,AVGDIST,0.6295176493668606,0.46068246172897603
Thalamus,HDRFDST,15.132745950421556,5.0
Thalamus,ACURCY,0.9985127872973454,0.9985872516754197
