Label,Metric,Original,Perturbed
WhiteMatter,DICE,0.8199696595532019,0.8214775158883448
WhiteMatter,JACRD,0.6948716752848358,0.6970401727274272
WhiteMatter,VOLSMTY,0.8450426923285184,0.9536833711341033
WhiteMatter,AVGDIST,0.24925842490032496,0.3452489404071646
WhiteMatter,HDRFDST,2.23606797749979,4.47213595499958
WhiteMatter,ACURCY,0.9766217586526512,0.9794584364855166
GreyMatter,DICE,0.7289698995840869,0.6482835535926069
GreyMatter,JACRD,0.5735268577396787,0.47960025589362476
GreyMatter,VOLSMTY,0.758873929008568,0.992861861977141
GreyMatter,AVGDIST,0.2903912534549337,0.6573537225065833
GreyMatter,HDRFDST,2.0,4.69041575982343
GreyMatter,ACURCY,0.9589567563685775,0.9598673888558641
Hippocampus,DICE,0.5974146550492787,0.708703139488674
Hippocampus,JACRD,0.425938184225266,0.5488305293393516
Hippocampus,VOLSMTY,0.619054420797029,0.7654877025654612
Hippocampus,AVGDIST,0.9776472589162508,0.3970047905757619
Hippocampus,HDRFDST,12.84523257866513,3.0
Hippocampus,ACURCY,0.9987004467516875,0.9992395642381482
Amygdala,DICE,0.5004464728643715,0.6106649111257406
Amygdala,JACRD,0.3337303162630674,0.43953752843062927
Amygdala,VOLSMTY,0.5966861791844429,0.7918367346938775
Amygdala,AVGDIST,1.531133549719638,0.8744035970763483
Amygdala,HDRFDST,13.19090595827292,10.488088481701515
Amygdala,ACURCY,0.9994196158767736,0.9996591468019106
Thalamus,DICE,0.7829504801355677,0.8267573696145125
Thalamus,JACRD,0.6433185070585961,0.7046772323154232
Thalamus,VOLSMTY,0.8089813594426661,0.8660115898211136
Thalamus,AVGDIST,0.369578658690371,0.2507749297995561
Thalamus,HDRFDST,4.58257569495584,3.0
Thalamus,ACURCY,0.9989369806585118,0.9992074039262554
