LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5352372201266041
Amygdala;DICE;STD;0.09125193065289045
Amygdala;HDRFDST;MEAN;11.440203453587355
Amygdala;HDRFDST;STD;4.25696428696882
GreyMatter;DICE;MEAN;0.17971317942427384
GreyMatter;DICE;STD;0.07753442432966581
GreyMatter;HDRFDST;MEAN;71.92865673203583
GreyMatter;HDRFDST;STD;7.118169759492753
Hippocampus;DICE;MEAN;0.4090474005763906
Hippocampus;DICE;STD;0.08381147718946946
Hippocampus;HDRFDST;MEAN;16.951791282481288
Hippocampus;HDRFDST;STD;4.720886814486381
Thalamus;DICE;MEAN;0.7419232517979362
Thalamus;DICE;STD;0.04831677984263307
Thalamus;HDRFDST;MEAN;10.740286166944433
Thalamus;HDRFDST;STD;6.541884518404622
WhiteMatter;DICE;MEAN;0.2759319461524853
WhiteMatter;DICE;STD;0.038342134263196444
WhiteMatter;HDRFDST;MEAN;63.13989489910133
WhiteMatter;HDRFDST;STD;4.770080935417944
